val_loss,val_w_mse,train_loss,training_iteration,lr,timestamp,checkpoint_dir_name,done,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.8835855731853893,0.47017124369559204,1.073692623771182,1,1.2803952368182745e-05,1765073982,,False,26e36_00018,2025-12-07_02-19-42,11.812777996063232,11.812777996063232,31340,11322cb164e6,172.18.0.2,11.812777996063232,1
0.8442456447440052,0.4472051548733038,0.8497088957396223,2,1.2801630418805588e-05,1765073991,,False,26e36_00018,2025-12-07_02-19-51,9.059052228927612,20.871830224990845,31340,11322cb164e6,172.18.0.2,20.871830224990845,2
0.8246978841486349,0.4350991431088923,0.8240117958224401,3,1.2797761139744746e-05,1765074000,,False,26e36_00018,2025-12-07_02-20-00,8.409664869308472,29.281495094299316,31340,11322cb164e6,172.18.0.2,29.281495094299316,3
0.814850635482157,0.429721570072963,0.8092967685948058,4,1.2792345485686926e-05,1765074008,,False,26e36_00018,2025-12-07_02-20-08,7.931635856628418,37.213130950927734,31340,11322cb164e6,172.18.0.2,37.213130950927734,4
0.806314026316007,0.42495360814596905,0.8008783160186396,5,1.2785384792863734e-05,1765074016,,False,26e36_00018,2025-12-07_02-20-16,7.904242277145386,45.11737322807312,31340,11322cb164e6,172.18.0.2,45.11737322807312,5
0.7994021751584798,0.42026655990494427,0.7922681719155573,6,1.277688077872197e-05,1765074024,,False,26e36_00018,2025-12-07_02-20-24,7.882847785949707,53.00022101402283,31340,11322cb164e6,172.18.0.2,53.00022101402283,6
0.7908814392820762,0.41532137892107024,0.7868205601849207,7,1.2766835541499874e-05,1765074031,,False,26e36_00018,2025-12-07_02-20-31,7.84495210647583,60.84517312049866,31340,11322cb164e6,172.18.0.2,60.84517312049866,7
0.7855838967210765,0.41192771195277683,0.7815847025502746,8,1.275525155970942e-05,1765074040,,False,26e36_00018,2025-12-07_02-20-40,8.052119970321655,68.89729309082031,31340,11322cb164e6,172.18.0.2,68.89729309082031,8
0.7808007521060841,0.4093788228113286,0.7760110456133034,9,1.2742131691524777e-05,1765074047,,False,26e36_00018,2025-12-07_02-20-47,7.932352781295776,76.82964587211609,31340,11322cb164e6,172.18.0.2,76.82964587211609,9
0.7771170616077391,0.40675489310800594,0.7720832819437108,10,1.272747917407711e-05,1765074055,,True,26e36_00018,2025-12-07_02-20-55,7.912456750869751,84.74210262298584,31340,11322cb164e6,172.18.0.2,84.74210262298584,10
