
============================================================
VEM Deep Learning Training
============================================================
Data/Hora Início: 2025-11-30 09:21:39
Dataset: meshes_5_samples.npz
Experimento: meshes_5_samples_20251130_092139

HIPERPARÂMETROS:
  Arquitetura: 6 camadas [256-256-128-128-64-64]
  Batch size: 2048
  Learning rate: 0.001
  Optimizer: AdamW (weight_decay=1e-05)
  Scheduler: ReduceLROnPlateau (patience=10, factor=0.5)
  Epochs: 200
  Precision: FP16
  Device: NVIDIA GeForce RTX 4090
  Early Stopping: Ativo (patience=20)
  
============================================================


Carregando dados...

Criando modelo...
Parâmetros treináveis: 129,794
Compilando modelo (torch.compile)...

================================================================================
Epoch   Train Loss     Val Loss       LR          Time(s)   Best 
96      5974.281860    796.781128     0.001000    0.6       *    
97      5910.891479    792.005371     0.001000    0.6       *    
98      5958.748657    787.236145     0.001000    0.6       *    
99      5905.964233    782.657837     0.001000    0.6       *    
100     5875.351440    777.756775     0.001000    0.6       *    
101     5929.531372    773.380188     0.001000    0.6       *    
102     5847.701538    768.999878     0.001000    0.6       *    
103     5895.457397    764.714600     0.001000    0.6       *    
104     5832.249878    760.524292     0.001000    0.6       *    
105     5841.889771    756.428955     0.001000    0.6       *    
106     5788.959106    752.428589     0.001000    0.6       *    
107     5756.656616    748.228271     0.001000    0.6       *    
108     5804.135498    744.421936     0.001000    0.6       *    
109     5742.029663    740.710693     0.001000    0.6       *    
110     5750.806152    737.094299     0.001000    0.6       *    
111     5733.057373    733.169373     0.001000    0.6       *    
112     5779.404419    729.890930     0.001000    0.6       *    
113     5690.244995    726.284912     0.001000    0.6       *    
114     5706.921509    723.181091     0.001000    0.6       *    
115     5715.483765    719.636292     0.001000    0.6       *    
116     5677.693848    716.704773     0.001000    0.6       *    
117     5613.618164    713.349060     0.001000    0.6       *    
118     5691.256104    710.092163     0.001000    0.6       *    
119     5622.562744    707.280090     0.001000    0.6       *    
120     5590.249634    704.209900     0.001000    0.6       *    
121     5646.110596    701.563904     0.001000    0.6       *    
122     5533.008301    698.531433     0.001000    0.6       *    
123     5644.125732    696.200562     0.001000    0.6       *    
124     5592.815552    693.350647     0.001000    0.6       *    
125     5567.283325    690.440552     0.001000    0.6       *    
126     5519.576050    688.208557     0.001000    0.6       *    
127     5541.408691    685.632080     0.001000    0.6       *    
128     5553.408325    683.403625     0.001000    0.6       *    
129     5531.059570    681.005859     0.001000    0.6       *    
130     5525.439575    678.935913     0.001000    0.6       *    
131     5512.170288    676.550842     0.001000    0.6       *    
132     5486.557617    674.805237     0.001000    0.6       *    
133     5409.203247    672.595276     0.001000    0.6       *    
134     5458.085205    670.305298     0.001000    0.6       *    
135     5435.363037    668.631042     0.001000    0.6       *    
136     5432.785400    666.683838     0.001000    0.6       *    
137     5406.467773    665.166260     0.001000    0.6       *    
138     5437.454468    663.214661     0.001000    0.6       *    
139     5377.663086    661.672974     0.001000    0.6       *    
140     5426.904419    659.888428     0.001000    0.6       *    
141     5367.935791    658.497131     0.001000    0.6       *    
142     5351.649170    656.879517     0.001000    0.6       *    
143     5326.761597    655.349854     0.001000    0.6       *    
144     5362.121948    654.001831     0.001000    0.6       *    
145     5348.948364    652.637695     0.001000    0.6       *    
146     5294.749878    651.435913     0.001000    0.6       *    
147     5309.757568    650.237244     0.001000    0.6       *    
148     5313.111572    649.181702     0.001000    0.6       *    
149     5301.323975    647.955811     0.001000    0.6       *    
150     5224.245605    647.045288     0.001000    0.6       *    
151     5277.880737    645.980957     0.001000    0.6       *    
152     5251.765137    645.019226     0.001000    0.6       *    
153     5260.493774    644.115356     0.001000    0.6       *    
154     5281.005127    643.098206     0.001000    0.6       *    
155     5223.290161    642.352295     0.001000    0.6       *    
156     5214.528809    641.492371     0.001000    0.6       *    
157     5254.583008    641.088501     0.001000    0.6       *    
158     5208.156982    640.386719     0.001000    0.6       *    
159     5214.342773    639.923096     0.001000    0.6       *    
160     5211.110840    639.378662     0.001000    0.6       *    
161     5192.171753    639.055603     0.001000    0.6       *    
162     5142.238281    638.462097     0.001000    0.6       *    
163     5137.893921    638.278687     0.001000    0.6       *    
164     5122.599365    638.047607     0.001000    0.6       *    
165     5164.127563    638.004883     0.001000    0.6       *    
166     5116.426758    637.721130     0.001000    0.6       *    
167     5144.485840    637.607422     0.001000    0.6       *    
168     5119.339111    637.477478     0.001000    0.6       *    
169     5137.467041    637.500977     0.001000    0.6            
170     5123.575562    637.524902     0.001000    0.6            
171     5086.016602    637.685608     0.001000    0.6            
172     5113.449341    637.863281     0.001000    0.6            
173     5085.495239    638.161133     0.001000    0.6            
174     5108.934082    638.492676     0.001000    0.6            
175     5064.109985    638.927734     0.001000    0.6            
176     5079.678101    639.196106     0.001000    0.6            
177     5000.578735    639.767700     0.001000    0.6            
178     5019.689941    640.187927     0.001000    0.6            
179     5045.292358    640.895874     0.000500    0.6            
180     5033.763916    641.179504     0.000500    0.6            
181     5050.015625    641.687439     0.000500    0.6            
182     5024.025513    641.772339     0.000500    0.6            
183     5011.934204    642.092529     0.000500    0.6            
184     4988.347656    642.460083     0.000500    0.6            
185     4964.410767    642.815979     0.000500    0.6            
186     4978.035522    643.187683     0.000500    0.6            
187     5011.256836    643.575317     0.000500    0.6            
188     4996.534180    644.026917     0.000500    0.6            

================================================================================
Early stopping! Sem melhora por 20 epochs.
Melhor val_loss: 637.477478 (epoch 168)

================================================================================
Treino Finalizado: 2025-11-30 09:23:40
Duração Total: 0h 1min 59s
Melhor val_loss: 637.477478
Modelo salvo em: /workspace/tcc-vem-deep-learning/models/meshes_5_samples_20251130_092139/best_model.pth
================================================================================


✓ Experimento completo: meshes_5_samples_20251130_092139
