val_loss,val_w_mse,train_loss,training_iteration,lr,timestamp,checkpoint_dir_name,done,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.8870672594617914,0.4610075372367458,0.884974957166489,1,0.0002830500360882264,1765127726,,False,1808f_00075,2025-12-07_17-15-26,28.192187070846558,28.192187070846558,64759,11322cb164e6,172.18.0.2,28.192187070846558,1
0.8479064963540138,0.45037448764224963,0.8588421552305076,2,0.00028302722218401325,1765127750,,False,1808f_00075,2025-12-07_17-15-50,24.427488327026367,52.619675397872925,64759,11322cb164e6,172.18.0.2,52.619675397872925,2
0.8327685297987847,0.4394569693470908,0.8434629382970303,3,0.00028298920179011455,1765127775,,False,1808f_00075,2025-12-07_17-16-15,24.781141757965088,77.40081715583801,64759,11322cb164e6,172.18.0.2,77.40081715583801,3
0.77089335933531,0.4090163971117714,0.812980165331284,4,0.00028293597907589485,1765127794,,False,1808f_00075,2025-12-07_17-16-34,19.098180532455444,96.49899768829346,64759,11322cb164e6,172.18.0.2,96.49899768829346,4
0.7469748664523891,0.3998181944527821,0.7735575020524008,5,0.00028286755987782456,1765127816,,False,1808f_00075,2025-12-07_17-16-56,21.596888065338135,118.09588575363159,64759,11322cb164e6,172.18.0.2,118.09588575363159,5
0.6805491043984542,0.3627608423257432,0.7307446183474637,6,0.00028278395169883984,1765127837,,False,1808f_00075,2025-12-07_17-17-17,21.62304997444153,139.71893572807312,64759,11322cb164e6,172.18.0.2,139.71893572807312,6
0.6456718658465623,0.35146652263739886,0.6787275299084707,7,0.00028268516370751957,1765127856,,False,1808f_00075,2025-12-07_17-17-36,19.015044450759888,158.733980178833,64759,11322cb164e6,172.18.0.2,158.733980178833,7
0.5700900273335839,0.3109015724739717,0.6203874462052282,8,0.0002825712067370803,1765127875,,False,1808f_00075,2025-12-07_17-17-55,19.066226720809937,177.80020689964294,64759,11322cb164e6,172.18.0.2,177.80020689964294,8
0.5396972459833524,0.2998222047081816,0.5630227150792931,9,0.00028244209328418804,1765127894,,False,1808f_00075,2025-12-07_17-18-14,19.0177001953125,196.81790709495544,64759,11322cb164e6,172.18.0.2,196.81790709495544,9
0.48796363654192426,0.2790704615501284,0.5052650039136715,10,0.00028229783750758784,1765127913,,False,1808f_00075,2025-12-07_17-18-33,19.083434104919434,215.90134119987488,64759,11322cb164e6,172.18.0.2,215.90134119987488,10
0.43904807176041555,0.2554385561140192,0.45265032729632215,11,0.00028213845522655125,1765127932,,False,1808f_00075,2025-12-07_17-18-52,19.096535205841064,234.99787640571594,64759,11322cb164e6,172.18.0.2,234.99787640571594,11
0.39532005268405057,0.23088806414101673,0.4072312932008216,12,0.00028196396391914143,1765127952,,False,1808f_00075,2025-12-07_17-19-12,19.09555196762085,254.0934283733368,64759,11322cb164e6,172.18.0.2,254.0934283733368,12
0.35232965979311204,0.21075304416434923,0.3681757967465827,13,0.0002817743827202965,1765127971,,False,1808f_00075,2025-12-07_17-19-31,19.058093070983887,273.1515214443207,64759,11322cb164e6,172.18.0.2,273.1515214443207,13
0.33234300753410334,0.20475278626655394,0.3384827738548308,14,0.0002815697324197315,1765127990,,False,1808f_00075,2025-12-07_17-19-50,19.12860679626465,292.2801282405853,64759,11322cb164e6,172.18.0.2,292.2801282405853,14
0.31883556716739553,0.2011542238084487,0.3136486993260978,15,0.0002813500354596579,1765128009,,True,1808f_00075,2025-12-07_17-20-09,18.90850520133972,311.18863344192505,64759,11322cb164e6,172.18.0.2,311.18863344192505,15
