val_loss,val_w_mse,train_loss,training_iteration,lr,timestamp,checkpoint_dir_name,done,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.7397801788702403,0.3686947620078309,0.8265300199532541,1,0.0004952276433928449,1765137317,,False,9de4c_00003,2025-12-07_19-55-17,11.468227863311768,11.468227863311768,74662,11322cb164e6,172.18.0.2,11.468227863311768,1
0.726093714204553,0.3637691442484725,0.7642673658735958,2,0.0004951877279200324,1765137325,,False,9de4c_00003,2025-12-07_19-55-25,7.8790857791900635,19.34731364250183,74662,11322cb164e6,172.18.0.2,19.34731364250183,2
0.6255394583695555,0.3176274149793468,0.714754647637918,3,0.0004951212069955643,1765137333,,False,9de4c_00003,2025-12-07_19-55-33,7.369535207748413,26.716848850250244,74662,11322cb164e6,172.18.0.2,26.716848850250244,3
0.5851217356446671,0.2996266712268738,0.6419974640727206,4,0.0004950280879142096,1765137340,,False,9de4c_00003,2025-12-07_19-55-40,7.001897096633911,33.718745946884155,74662,11322cb164e6,172.18.0.2,33.718745946884155,4
0.5463989573390516,0.2784994949624963,0.5834701288752104,5,0.0004949083808875247,1765137347,,False,9de4c_00003,2025-12-07_19-55-47,7.147409677505493,40.86615562438965,74662,11322cb164e6,172.18.0.2,40.86615562438965,5
0.4770067739160094,0.2478556825077697,0.5153968637535765,6,0.0004947620990427343,1765137354,,False,9de4c_00003,2025-12-07_19-55-54,7.1602349281311035,48.02639055252075,74662,11322cb164e6,172.18.0.2,48.02639055252075,6
0.38466260420949494,0.20758488120077406,0.4532044772850797,7,0.000494589258421291,1765137361,,False,9de4c_00003,2025-12-07_19-56-01,7.200166702270508,55.22655725479126,74662,11322cb164e6,172.18.0.2,55.22655725479126,7
0.3402703833090116,0.18955407118144102,0.3971843443228384,8,0.0004943898779771168,1765137368,,False,9de4c_00003,2025-12-07_19-56-08,7.125028848648071,62.35158610343933,74662,11322cb164e6,172.18.0.2,62.35158610343933,8
0.30387290573283415,0.1771968778171768,0.3495702222807254,9,0.0004941639795745241,1765137375,,False,9de4c_00003,2025-12-07_19-56-15,7.081891775131226,69.43347787857056,74662,11322cb164e6,172.18.0.2,69.43347787857056,9
0.2601979557986129,0.15710025238868308,0.3103026831407606,10,0.0004939115879858183,1765137383,,False,9de4c_00003,2025-12-07_19-56-23,7.260722875595093,76.69420075416565,74662,11322cb164e6,172.18.0.2,76.69420075416565,10
